pk,dependencia,network,pk_rfn,pk_lfp,pk_adif,pk_internal,note,notes,isNoteOnly,bloqueo,radio,vmax,vmax_bar,vmax_highlight,rc,rc_bar,etcs,hora,tecnico,conc
615.9,CAN TUNIS AV,,,,,,,,,↓ BCA ↓,◯ GSMR,30.0,False,,25,False,,,,
616.0,BIF CAN TUNIS AV,,,,,,,,,↓ BCA ↓,◯ GSMR,95.0,True,,25,False,,,,
618.1,,,,,,,,,,↓ BCA ↓,◯ GSMR,85.0,True,,25,False,,,,
619.9,,,,,,,,,,↓ BCA ↓,◯ GSMR,60.0,True,,25,False,,,,
620.2,,,,,,,,,,↓ BCA ↓,◯ GSMR,30.0,True,,25,False,,,,
621.0,BARCELONA SANTS,,,,,,,,,↓ BCA ↓,◯ GSMR,30.0,,,28,True,,,,
621.7,,,,,,,,,,↓ BCA ↓,◯ GSMR,140.0,True,,28,False,,,,
623.8,,,,,,,,,,↓ BCA ↓,◯ GSMR,80.0,True,,28,False,,,,
624.3,,,,,,,,,,↓ BCA ↓,◯ GSMR,140.0,True,,28,False,,,,
626.7,,,,,,,,,,↓ BCA ↓,◯ GSMR,45.0,True,,28,False,,,,
,,,,,,,,"[""35 VIAS ESTACIONAM. V11, V19 Y V10, V18""]",True,↓ BCA ↓,◯ GSMR,,,,28,False,,,,
627.7,LA SAGRERA AV,,,,,,,,,↓ BCA ↓,◯ GSMR,45.0,True,,28,False,,,,
629.4,,,,,,,,,,↓ BCA ↓,◯ GSMR,110.0,True,,28,False,,,,
630.7,,,,,,,,,,↓ BCA ↓,◯ GSMR,130.0,True,,28,False,,,,
632.4,,,,,,,,,,↓ BCA ↓,◯ GSMR,200.0,True,,28,False,,,,
634.5,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,28,False,,,,
636.6,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,28,False,,,,
639.8,,,,,,,,,,↓ BCA ↓,◯ GSMR,185.0,True,,28,False,,,,
640.5,BIF. MOLLET,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,28,False,,,,
641.3,"BIF. MOLLET-AGUJA KM. 641,3",,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,True,,,,
641.9,,,,,,,,,,↓ BCA ↓,◯ GSMR,195.0,True,,18,False,,,,
643.6,,,,,,,,,,↓ BCA ↓,◯ GSMR,200.0,True,,18,False,,,,
644.3,BIF. MOLLET-AG.KM. 644.3,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
654.4,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
655.6,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
655.8,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
660.8,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
661.5,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
662.0,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
662.1,LLINARS-A. V,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
673.5,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
678.1,RIELLS-A. V,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
680.2,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
682.0,BASE MTO. RIELLS,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
684.0,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
703.5,VILOBI D'ONYAR,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
707.1,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
709.9,,,,,,,,,,↓ BCA ↓,◯ GSMR,125.0,True,,18,False,,,,
710.7,BIF. GIRONA-MERCADERIES,,,,,,,,,↓ BCA ↓,◯ GSMR,125.0,True,,18,False,,,,
713.2,,,,,,,,,,↓ BCA ↓,◯ GSMR,120.0,True,,18,False,,,,
714.7,GIRONA,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
715.5,,,,,,,,,,↓ BCA ↓,◯ GSMR,165.0,True,,18,False,,,,
716.8,,,,,,,,,,↓ BCA ↓,◯ GSMR,200.0,True,,18,False,,,,
720.0,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
723.7,,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
,,,,,,,,"[""80 AL PASO VIAS 3, 4 Y 6"", ""50 AL PASO VIA 7""]",True,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
748.9,FIGUERES-VILAFANT,,,,,,,,,↓ BCA ↓,◯ GSMR,,,,18,False,,,,
752.4,LIMITE ADIF - LFPSA,ADIF,,44.4,752.4,752.4,,,,↓ BCA ↓,◯ GSMR,200.0,False,,18,False,,,,
796.8,LFP PK 0 (POINT TECHNIQUE),LFP,,0.0,,796.8,,,,↓ BCA ↓,◯ GSMR,200.0,False,,18,False,,,,
799.7,LIMITE RFN - LFPSA,RFN,473.300,,,799.7,,,,↓ BCA ↓,◯ GSMR,200.0,False,,18,False,,,,
805.5,PERPIGNAN,RFN,467.500,,,805.5,,,,↓ BCA ↓,◯ GSMR,200.0,False,,18,False,,,,
